Road ID,00:00 - 00:04,00:05 - 00:09,00:10 - 00:14,00:15 - 00:19,00:20 - 00:24,00:25 - 00:29,00:30 - 00:34,00:35 - 00:39,00:40 - 00:44,00:45 - 00:49,00:50 - 00:54,00:55 - 00:59,01:00 - 01:04,01:05 - 01:09,01:10 - 01:14,01:15 - 01:19,01:20 - 01:24,01:25 - 01:29,01:30 - 01:34,01:35 - 01:39,01:40 - 01:44,01:45 - 01:49,01:50 - 01:54,01:55 - 01:59,02:00 - 02:04,02:05 - 02:09,02:10 - 02:14,02:15 - 02:19,02:20 - 02:24,02:25 - 02:29,02:30 - 02:34,02:35 - 02:39,02:40 - 02:44,02:45 - 02:49,02:50 - 02:54,02:55 - 02:59,03:00 - 03:04,03:05 - 03:09,03:10 - 03:14,03:15 - 03:19,03:20 - 03:24,03:25 - 03:29,03:30 - 03:34,03:35 - 03:39,03:40 - 03:44,03:45 - 03:49,03:50 - 03:54,03:55 - 03:59,04:00 - 04:04,04:05 - 04:09,04:10 - 04:14,04:15 - 04:19,04:20 - 04:24,04:25 - 04:29,04:30 - 04:34,04:35 - 04:39,04:40 - 04:44,04:45 - 04:49,04:50 - 04:54,04:55 - 04:59,05:00 - 05:04,05:05 - 05:09,05:10 - 05:14,05:15 - 05:19,05:20 - 05:24,05:25 - 05:29,05:30 - 05:34,05:35 - 05:39,05:40 - 05:44,05:45 - 05:49,05:50 - 05:54,05:55 - 05:59,06:00 - 06:04,06:05 - 06:09,06:10 - 06:14,06:15 - 06:19,06:20 - 06:24,06:25 - 06:29,06:30 - 06:34,06:35 - 06:39,06:40 - 06:44,06:45 - 06:49,06:50 - 06:54,06:55 - 06:59,07:00 - 07:04,07:05 - 07:09,07:10 - 07:14,07:15 - 07:19,07:20 - 07:24,07:25 - 07:29,07:30 - 07:34,07:35 - 07:39,07:40 - 07:44,07:45 - 07:49,07:50 - 07:54,07:55 - 07:59,08:00 - 08:04,08:05 - 08:09,08:10 - 08:14,08:15 - 08:19,08:20 - 08:24,08:25 - 08:29,08:30 - 08:34,08:35 - 08:39,08:40 - 08:44,08:45 - 08:49,08:50 - 08:54,08:55 - 08:59,09:00 - 09:04,09:05 - 09:09,09:10 - 09:14,09:15 - 09:19,09:20 - 09:24,09:25 - 09:29,09:30 - 09:34,09:35 - 09:39,09:40 - 09:44,09:45 - 09:49,09:50 - 09:54,09:55 - 09:59,10:00 - 10:04,10:05 - 10:09,10:10 - 10:14,10:15 - 10:19,10:20 - 10:24,10:25 - 10:29,10:30 - 10:34,10:35 - 10:39,10:40 - 10:44,10:45 - 10:49,10:50 - 10:54,10:55 - 10:59,11:00 - 11:04,11:05 - 11:09,11:10 - 11:14,11:15 - 11:19,11:20 - 11:24,11:25 - 11:29,11:30 - 11:34,11:35 - 11:39,11:40 - 11:44,11:45 - 11:49,11:50 - 11:54,11:55 - 11:59,12:00 - 12:04,12:05 - 12:09,12:10 - 12:14,12:15 - 12:19,12:20 - 12:24,12:25 - 12:29,12:30 - 12:34,12:35 - 12:39,12:40 - 12:44,12:45 - 12:49,12:50 - 12:54,12:55 - 12:59,13:00 - 13:04,13:05 - 13:09,13:10 - 13:14,13:15 - 13:19,13:20 - 13:24,13:25 - 13:29,13:30 - 13:34,13:35 - 13:39,13:40 - 13:44,13:45 - 13:49,13:50 - 13:54,13:55 - 13:59,14:00 - 14:04,14:05 - 14:09,14:10 - 14:14,14:15 - 14:19,14:20 - 14:24,14:25 - 14:29,14:30 - 14:34,14:35 - 14:39,14:40 - 14:44,14:45 - 14:49,14:50 - 14:54,14:55 - 14:59,15:00 - 15:04,15:05 - 15:09,15:10 - 15:14,15:15 - 15:19,15:20 - 15:24,15:25 - 15:29,15:30 - 15:34,15:35 - 15:39,15:40 - 15:44,15:45 - 15:49,15:50 - 15:54,15:55 - 15:59,16:00 - 16:04,16:05 - 16:09,16:10 - 16:14,16:15 - 16:19,16:20 - 16:24,16:25 - 16:29,16:30 - 16:34,16:35 - 16:39,16:40 - 16:44,16:45 - 16:49,16:50 - 16:54,16:55 - 16:59,17:00 - 17:04,17:05 - 17:09,17:10 - 17:14,17:15 - 17:19,17:20 - 17:24,17:25 - 17:29,17:30 - 17:34,17:35 - 17:39,17:40 - 17:44,17:45 - 17:49,17:50 - 17:54,17:55 - 17:59,18:00 - 18:04,18:05 - 18:09,18:10 - 18:14,18:15 - 18:19,18:20 - 18:24,18:25 - 18:29,18:30 - 18:34,18:35 - 18:39,18:40 - 18:44,18:45 - 18:49,18:50 - 18:54,18:55 - 18:59,19:00 - 19:04,19:05 - 19:09,19:10 - 19:14,19:15 - 19:19,19:20 - 19:24,19:25 - 19:29,19:30 - 19:34,19:35 - 19:39,19:40 - 19:44,19:45 - 19:49,19:50 - 19:54,19:55 - 19:59,20:00 - 20:04,20:05 - 20:09,20:10 - 20:14,20:15 - 20:19,20:20 - 20:24,20:25 - 20:29,20:30 - 20:34,20:35 - 20:39,20:40 - 20:44,20:45 - 20:49,20:50 - 20:54,20:55 - 20:59,21:00 - 21:04,21:05 - 21:09,21:10 - 21:14,21:15 - 21:19,21:20 - 21:24,21:25 - 21:29,21:30 - 21:34,21:35 - 21:39,21:40 - 21:44,21:45 - 21:49,21:50 - 21:54,21:55 - 21:59,22:00 - 22:04,22:05 - 22:09,22:10 - 22:14,22:15 - 22:19,22:20 - 22:24,22:25 - 22:29,22:30 - 22:34,22:35 - 22:39,22:40 - 22:44,22:45 - 22:49,22:50 - 22:54,22:55 - 22:59,23:00 - 23:04,23:05 - 23:09,23:10 - 23:14,23:15 - 23:19,23:20 - 23:24,23:25 - 23:29,23:30 - 23:34,23:35 - 23:39,23:40 - 23:44,23:45 - 23:49,23:50 - 23:54,23:55 - 23:59
4350444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.22526225281972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9293685134568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7416131463222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.56280719483156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4350451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374883,0,0,12.087070360770582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.587784781922984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.294556798452656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.935833430014895,0,0,0,0,0,4.052316886622692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.726700743939226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4374895,0,0,0,0,49.94767100083998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.61058444836736,0,0,0,0,0,0,0,37.87906580928015,0,0,43.4422397825506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.94585860906454,0,0,0,0,0,0,0,0,0,0,43.411594814738876,0,0,0,0,0,0,0,47.688251175389716,41.03459300005654,0,0,0,0,0,0,31.70137966407139,0,0,0,0,0,0,0,0,0,0,0,0,48.375658679870874,0,0,0,0,0,0,47.87217056789186,0,0,0,0,41.95250037103869,0,0,0,0,0,0,0,12.09595609315545,0,0,0,0,0,0,0,0,0,0,0,0,0,27.756876805174,34.904988733022066,0,0,0,0,0,0,0,0,0,0,0,0,0,50.62730296884793,0,0,0,0,0,39.44770627664343,0,0,0,16.53240210276977,0,0,0,0,0,0,0,0,0,0,0,0,0,28.623776752373335,0,0,0,0,0,0,0,0,0,0,0,46.83045510419163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.870215930509325,0,0,0,0,0,0,0,0,0,0,0,0,0,50.32671824533977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715172,0,0,0,0,0,0,0,0,0,0,0,0,50.288811955182354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.90216740256034,0,0,0,0,0,0,35.57221328279499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.07266431467636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.849327880790376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.342104061642985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5715918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
