from,to,distance
139470177,24163970,0.21448437383792215
139470177,4350444,0.04484075708728739
139470177,93788349,0.40090974355965187
4350444,139470177,0.04484075708728739
4350444,35209515,0.271958815309659
35209515,4350444,0.271958815309659
35209515,35209605,0.4465460169362385
4350451,347697410,0.6229038861669721
4350451,24137110,0.5846603464434628
24137110,4350451,0.5846603464434628
24137110,670269494,0.1700741352602969
347697410,347697409,0.10388929996566727
347697410,4350451,0.6229038861669721
4374873,86576857,0.1017135413186175
4374873,27490449,0.11875776048709269
86576857,86576856,0.09479225635173193
86576857,4374873,0.1017135413186175
27490449,4374873,0.11875776048709269
27490449,668988421,0.19407632078154533
4374883,35209497,0.35136683502895494
4374883,139470191,0.37993962611749693
139470191,32814264,0.0758495150804025
139470191,4374883,0.37993962611749693
139470191,77457639,0.12228479762143374
35209497,4374883,0.35136683502895494
35209497,77457615,0.13911616660263715
82507211,82507213,0.07086899798574915
82507211,4374894,0.15198901436284415
4374894,82507211,0.15198901436284415
4374894,26769099,0.12024963038373539
26769099,77457638,0.050772553396332
26769099,4374894,0.12024963038373539
118097905,118097918,0.163046733681076
118097905,4374895,0.4421086549706741
4374895,118097905,0.4421086549706741
4374895,93788323,0.4160545618037835
4374895,5715172,0.41871830086586637
93788323,26769087,0.06665889293709526
93788323,5715172,0.007347575437775601
93788323,4374895,0.4160545618037835
5715172,93788323,0.007347575437775601
5715172,112412942,0.035847070157731406
5715172,4374895,0.41871830086586637
112412942,5715172,0.035847070157731406
112412942,26768885,0.04298045769611165
672181379,167514681,0.03234756970390578
672181379,167515987,0.03217531161510683
672181379,5715384,0.027542220014592472
672181379,396843545,0.05536755392802387
672181379,480349883,0.06220193295546664
396843545,672181379,0.05536755392802387
396843545,167515987,0.05230779713059495
396843545,5715384,0.05784820975569923
396843545,167514681,0.05855998005686259
396843545,139199358,0.4121182054314254
167515987,672181376,0.028643638018748196
167515987,672181379,0.03217531161510683
167515987,167514681,0.006486209157315329
167515987,5715384,0.05748453708656873
167515987,396843545,0.05230779713059495
5715384,396843554,0.14696224386909024
5715384,672181379,0.027542220014592472
5715384,167514681,0.058985979128532214
5715384,167515987,0.05748453708656873
5715384,396843545,0.05784820975569923
167514681,672181379,0.03234756970390578
167514681,167515987,0.006486209157315329
167514681,5715384,0.058985979128532214
167514681,396843545,0.05855998005686259
167514681,672181374,0.029242796876817082
396843554,5715384,0.14696224386909024
396843554,178218633,0.26256646697468955
5717809,5718346,0.23544709218975682
5717809,5717701,0.6318155768804957
5717809,5715438,0.36665036353179836
5717809,672181423,0.36027513192163974
5715438,5717809,0.36665036353179836
5715438,672181450,0.07504766301005404
672181450,5716816,0.5004564977576422
672181450,5715438,0.07504766301005404
31304736,768655280,0.09570304256759725
31304736,671005485,0.09628256994618009
31304736,5715918,0.11336304769856127
671005485,31304736,0.09628256994618009
671005485,139644920,0.18045633796361746
671005485,5715918,0.07938144647913868
5715918,31304736,0.11336304769856127
5715918,131359785,0.07493992057849903
5715918,671005485,0.07938144647913868
131359785,12296201,0.12163208003009579
131359785,5715918,0.07493992057849903
85441393,5719657,1.0914169187124316
85441393,5715947,0.7391406069305213
85441393,97858767,0.649415752514819
5715947,85441393,0.7391406069305213
5715947,672127486,0.1436244756664321
5715947,97858767,0.22797602575866305
97858767,85441393,0.649415752514819
97858767,5715947,0.22797602575866305
97858767,5719313,0.03533349402593485
672127486,5715947,0.1436244756664321
672127486,825073799,0.04660955562064607
48082200,5716002,0.13071797532602794
48082200,106846175,0.35081016544684657
5716002,48082200,0.13071797532602794
5716002,48082202,0.13297107443682576
5716002,48082199,0.17343076872861501
48082202,5716002,0.13297107443682576
48082202,48082198,0.07740470650280291
48082202,48082199,0.07715076633238675
48082199,5716002,0.17343076872861501
48082199,48082202,0.07715076633238675
48082199,672181454,0.07820426122793882
5716160,586000768,0.29485627151030547
5716160,127700882,0.29384213311743246
5716160,49168611,0.26266023930250065
586000768,5716160,0.29485627151030547
586000768,672181480,0.1808455247240784
127700882,5716160,0.29384213311743246
127700882,49168611,0.03181303592264991
127700882,24553968,0.08549938904321988
49168611,5716160,0.26266023930250065
49168611,127700882,0.03181303592264991
49168611,127700879,0.08113395672899441
178872179,5716271,0.18240378708330807
178872179,51217968,0.14633327297280782
178872179,33179313,0.06266918352191043
178872179,33179291,0.07784465535004789
178872179,672181343,0.21500238418528575
672181343,672181507,0.040070020467303395
672181343,178872179,0.21500238418528575
672181343,179049046,0.2107768874857729
672181343,5716271,0.05590728015584745
5716271,178872179,0.18240378708330807
