from,to,distance
280534533,280534535,0.17219862943242997
101453830,24930345,0.36695458731717767
101453830,101453807,0.15212192362083507
12296201,131359785,0.12163208003009579
12296201,48986081,0.04289364421509553
24930331,672181313,0.20959107837091248
24930331,27767178,0.0900571320176486
887720477,887719853,0.04337133906276673
887720477,887720093,0.04651506081724294
24930334,347697411,0.06862465337569632
24930334,24930331,0.12882713420671518
97800738,887719608,0.10200318615280415
97800738,231290319,0.08104690186448553
50761252,197881392,0.3732083901463043
24930345,101453830,0.36695458731717767
27837482,27837509,0.04231577997693145
24930348,24930121,0.18546729705656412
24930348,24930345,0.4537250141628258
197881392,480343252,0.12085421369848272
197881392,480343253,0.10490889051598545
86806065,347697409,0.10809199125900018
86806065,24930062,0.07824917632857549
86806066,24930053,0.09129042963534267
86806066,445865934,0.38504868790215757
670977589,277117180,0.021410085464611858
670977589,93405445,0.0169623311633236
670269495,25832336,0.5325825653480332
670269495,670269496,0.06539511360632279
670269495,672181316,0.056230846633023926
12284472,280534533,0.07389015433441498
48707646,672181312,0.05074996956815977
48707646,806960925,0.06719383590632823
672181313,24930106,0.0881493146821335
672181313,24930331,0.20959107837091248
672181313,27767178,0.25895012449957233
672181314,24930121,0.17402753953388006
672181314,27837482,0.1061676723405796
672181314,24930122,0.06931632735764445
12304451,672030000,0.22069704304765775
27837509,368276968,0.5235409505084542
27837509,97800738,0.15950468063463866
27837509,480347772,0.020887681869122012
672181316,25832336,0.5833416738047263
672181316,670269495,0.056230846633023926
672181316,25832335,0.0482198640885625
48707656,806960924,0.023126389375694053
93788257,445875213,0.28060333831298645
84815458,24163970,0.14639047558155333
84815458,84815479,0.04135263661321238
670991463,231290320,0.03418247937606336
670991463,278983996,0.012498415635481314
670991463,12298189,0.011438726018350834
670991463,278983998,0.27549061394454366
84815470,118489964,0.01956023148317578
97811054,807321532,0.04861264812789533
670991470,49615684,0.5947722131915444
670991470,670991467,0.162941566878784
670991470,278983991,0.14805107108401502
670991470,278983994,0.2444575566648263
670991470,278983995,0.5114752988069157
670991470,278983998,0.2581074553025598
12281457,12281461,0.8279523916908524
97811059,806960925,0.0806456560861188
97811059,139644854,0.07542503031207527
12281461,105645096,0.1189867681180313
12281461,93405445,0.02777646593098609
670991477,49617794,0.2554055051928855
670991477,368276968,0.40517550593326646
670991477,670991467,0.1551369536771154
670991477,670991474,0.30955961593812276
670991477,278983991,0.17003595847112973
670991477,278983992,0.25969982005852804
84815479,118727353,0.07912203241877337
84815479,84815458,0.04135263661321238
672424056,806924581,0.22343178426434118
672424057,672424059,0.10534854393110848
12281467,258581981,0.4792736949992824
12275326,12284472,0.2246322494924615
672424059,763375245,0.07672725412024915
672424060,763375246,0.23594639960253905
24163970,139470177,0.21448437383792215
24163970,93788349,0.19223762298138855
763375245,672424059,0.07672725412024915
763375245,763375246,0.022947895630453526
763375246,672424060,0.23594639960253905
763375246,763375245,0.022947895630453526
887720093,231290320,0.06605277817128519
887720093,887720477,0.04651506081724294
32814264,139470191,0.0758495150804025
32814264,77457639,0.06037610192012944
887719608,97800738,0.10200318615280415
887719608,742822126,0.05513067160789512
887719608,231290319,0.06355002718166397
12287171,480347772,0.1266185094790963
480343252,197881392,0.12085421369848272
480343252,139470226,0.03754410408620852
480343252,480343253,0.019942670039269993
480343253,197881392,0.10490889051598545
480343253,480343252,0.019942670039269993
480343253,12320711,0.09955331004657599
12291814,12294026,0.4969812707040891
27749097,27749099,0.2053394831604273
27749097,44386391,0.38549606672912184
27749098,27749096,0.17389810514462828
27749098,101453807,0.19029969660693297
27749099,101453786,0.13627791719550747
49607400,198548139,0.18865148991183223
742822126,887719608,0.05513067160789512
277117180,670977589,0.021410085464611858
277117180,12298646,0.049312473264909555
347697408,445865933,0.30332853851455593
347697409,86806065,0.10809199125900018
347697409,347697410,0.10388929996566727
139631875,672030001,0.12986423221496912
139631875,198548455,0.026015330358996124
24930053,24930058,0.0816739699703213
24930053,86806066,0.09129042963534267
24930058,24930053,0.0816739699703213
24930058,24930118,0.06196480945896308
24930062,86806065,0.07824917632857549
24930062,24930066,0.06015446937306705
806924561,806924581,0.2111023709940714
24930066,24930122,0.06256542708377756
24930066,24930062,0.06015446937306705
35209497,4374883,0.35136683502895494
35209497,77457615,0.13911616660263715
806960924,48707656,0.023126389375694053
806960924,68286514,0.06283596556671844
806960924,48707646,0.06781709315026281
85135647,671005478,0.031184456237880846
671005476,671005479,0.08358143515516998
672029994,49607400,0.1707126202845912
672029994,49612587,0.02473762645858469
672029994,49612720,0.0831403342107795
672029994,49612719,0.08194445131801685
35209515,35209605,0.4465460169362385
49612587,49612720,0.10131787037992675
49612587,672029994,0.02473762645858469
49612587,49612719,0.10098408819076973
672029996,12320725,0.15266575864838847
672029996,12304451,0.33419445416886445
672029996,198548139,0.054159173335784114
278983991,278983994,0.2934106537151856
278983991,278983995,0.659391061394256
278983991,670991470,0.14805107108401502
24930106,672181313,0.0881493146821335
24930106,24930118,0.060878099007999106
278983996,278983998,0.27352890460805424
278983996,670991463,0.012498415635481314
49615683,49617794,0.19449315814796025
49615683,93964101,0.004064520390185492
49615683,93964110,0.06838482022786764
49615684,670991470,0.5947722131915444
49615684,670991467,0.7574991429097947
49615684,278983998,0.6686055116520242
93964101,278983992,0.19037521895154555
93964101,49615683,0.004064520390185492
93964101,93964110,0.06841013116663458
24930118,24930058,0.06196480945896308
24930118,24930106,0.060878099007999106
24930121,24930348,0.18546729705656412
24930122,24930066,0.06256542708377756
24930122,672181314,0.06931632735764445
93964110,672030002,0.11575021339589746
93964110,49615683,0.06838482022786764
93964110,93964101,0.06841013116663458
12294494,672030001,0.3055502040076512
4374883,35209497,0.35136683502895494
4374883,139470191,0.37993962611749693
118489964,118727353,0.06367207954724556
480349554,231290315,0.04111702154991517
480349554,231290316,0.03080212473694892
48964981,280534530,0.15060306249303326
139470198,445875213,0.265608756631689
12280187,12320724,0.12633554584815937
49617794,670991474,0.39587659092620875
49617794,670991477,0.2554055051928855
49617794,278983991,0.4252137261157073
48964995,48964981,0.11052505350152518
48964995,12307686,0.06637816515867354
48964995,280534535,0.21013577022097618
787692934,672181312,0.030211467113286008
787692934,768655280,0.02613780107813739
12294026,806924561,0.32514019878382905
25832335,672181316,0.0482198640885625
25832335,25832422,0.15717717535097392
25832336,77457639,0.6738179665822529
12298646,277117180,0.049312473264909555
48400801,139645043,0.20358984668442065
48400801,280538021,0.17119239269553396
280538021,48400801,0.17119239269553396
280538021,139645043,0.0800483306363138
280538021,280538022,0.1191000081191358
85087660,85087667,0.08012432462774963
85087667,85087671,0.16172191255559273
85087671,672181315,0.2452804845466477
85087671,139470173,0.39522425880726564
25832378,672181315,0.08229232337535486
25832378,25832379,0.11173468877660553
25832379,25832408,0.23827263982743785
12320711,480343253,0.09955331004657599
231290315,480349554,0.04111702154991517
231290315,231290325,0.02695272491765881
231290316,231290322,0.03931898854261266
231290316,480349554,0.03080212473694892
12298189,231290320,0.028857630964846538
12298189,278983996,0.00948917327546458
12298189,670991463,0.011438726018350834
5715918,131359785,0.07493992057849903
231290319,231290329,0.06952716144238244
231290320,887720093,0.06605277817128519
231290322,231290329,0.06465396992311001
231290322,231290316,0.03931898854261266
258581970,280534530,0.11367048945711343
258581970,258581981,0.027819865115791095
12320724,311478339,0.0763801841302156
12320725,50558143,0.11376823037111171
25832405,25832408,0.0654868465615603
25832405,25832448,0.07310370973115
231290325,27767178,0.11448411936133657
231290325,231290315,0.02695272491765881
231290325,48874006,0.12486611885275617
25832408,25832379,0.23827263982743785
25832408,25832405,0.0654868465615603
231290329,231290322,0.06465396992311001
231290329,231290319,0.06952716144238244
101453786,27749099,0.13627791719550747
101453786,101453796,0.16539792697981348
48986081,48707656,0.049324888006125556
48986081,12296201,0.04289364421509553
25832420,25832422,0.1998344547374289
25832420,25832430,0.06285776950309464
101453796,347697412,0.31112416421047917
198548455,198548456,0.17011953790721546
198548455,139631875,0.026015330358996124
198548456,672030000,0.17308767406606226
368276966,670991474,0.3566047070582359
4350444,139470177,0.04484075708728739
4350444,35209515,0.271958815309659
25832430,25832434,0.06251593274661837
25832430,25832420,0.06285776950309464
4350451,347697410,0.6229038861669721
5716989,671005476,0.820456783728257
5716989,85135663,0.7169749221473024
